"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1992-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",694,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",664,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",627,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",653,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",671,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",681,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",682,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",712,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",721,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",748,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",736,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",742,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1993-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",783,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",708,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",711,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",687,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",669,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",673,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",647,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",714,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",722,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",738,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",730,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",737,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1994-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",730,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",1213,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",1202,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",1134,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",845,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",844,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",843,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",724,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",707,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",684,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",641,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",666,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1995-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",689,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",627,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",615,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",561,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",606,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",654,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",637,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",684,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",694,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",678,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",668,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",689,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1996-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",686,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",660,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",646,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",640,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",652,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",641,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",638,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",679,"Population of Person: Fishing (NAICS/1141)"
